ID,Office_PIN,Applicant_Gender,Applicant_Marital_Status,Applicant_Occupation,Applicant_Qualification,Manager_Joining_Designation,Manager_Current_Designation,Manager_Status,Manager_Gender,Manager_Num_Application,Manager_Num_Coded,Manager_Business,Manager_Num_Products,Business_Sourced,Applicant_Age,Manager_Age,Manager_Tenure,Application_Receipt_Month,Application_Receipt_Year,City_Name,Country_Name
FIN1000001,842001,M,M,Others,Graduate,1.0,2.0,Confirmation,M,2.0,1.0,335249.0,28.0,0,35.0,29.0,17.0,4,2007,Bihar,India
FIN1000002,842001,M,S,Others,Class XII,1.0,2.0,Confirmation,M,2.0,1.0,335249.0,28.0,1,24.0,29.0,17.0,4,2007,Bihar,India
FIN1000003,800001,M,M,Business,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,357184.0,24.0,0,41.0,38.0,11.0,4,2007,Galați,România
FIN1000004,814112,M,S,Salaried,Class XII,1.0,3.0,Confirmation,F,0.0,0.0,318356.0,22.0,0,19.0,28.0,44.0,4,2007,Jharkhand,India
FIN1000005,814112,M,M,Others,Class XII,1.0,1.0,Confirmation,M,2.0,1.0,230402.0,17.0,0,21.0,36.0,11.0,4,2007,Jharkhand,India
FIN1000006,814112,M,S,Others,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,247118.0,24.0,1,19.0,28.0,15.0,4,2007,Jharkhand,India
FIN1000007,842001,M,M,Business,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,315119.0,27.0,1,38.0,37.0,43.0,4,2007,Bihar,India
FIN1000008,800001,M,M,Salaried,Class XII,1.0,1.0,Confirmation,M,5.0,4.0,117358.0,9.0,0,23.0,31.0,4.0,4,2007,Galați,România
FIN1000009,209625,M,M,Business,Graduate,1.0,2.0,Confirmation,M,0.0,0.0,244028.0,17.0,1,31.0,41.0,29.0,4,2007,Uttar Pradesh,India
FIN1000010,211001,M,M,Others,Class XII,1.0,3.0,Confirmation,M,0.0,0.0,851557.0,39.0,1,25.0,32.0,56.0,4,2007,Uttar Pradesh,India
FIN1000011,520010,M,M,Salaried,Class XII,1.0,2.0,Confirmation,M,0.0,0.0,148789.0,10.0,1,30.0,44.0,31.0,4,2007,Andhra Pradesh,India
FIN1000012,533101,F,S,Business,Class XII,1.0,2.0,Confirmation,M,2.0,3.0,233726.0,14.0,1,18.0,53.0,10.0,4,2007,Andhra Pradesh,India
FIN1000013,274001,M,S,Business,Class XII,1.0,3.0,Confirmation,M,0.0,0.0,218901.0,13.0,1,25.0,25.0,36.0,4,2007,Uttar Pradesh,India
FIN1000014,202001,M,S,Business,Graduate,1.0,1.0,Confirmation,M,0.0,0.0,395742.0,19.0,0,25.0,38.0,39.0,4,2007,基隆市,臺灣
FIN1000015,284001,M,M,Others,Class X,1.0,2.0,Confirmation,M,1.0,2.0,173087.0,10.0,1,25.0,45.0,10.0,4,2007,Uttar Pradesh,India
FIN1000016,520010,M,S,Others,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,88414.0,7.0,1,24.0,35.0,25.0,4,2007,Andhra Pradesh,India
FIN1000017,834001,M,S,Salaried,Class XII,1.0,2.0,Confirmation,M,1.0,2.0,341667.0,14.0,1,21.0,33.0,53.0,4,2007,Jharkhand,India
FIN1000018,474008,F,S,Business,Class XII,2.0,3.0,Confirmation,M,0.0,2.0,1359705.0,24.0,1,24.0,33.0,6.0,4,2007,Madhya Pradesh,India
FIN1000019,121002,F,M,Others,Graduate,1.0,1.0,Confirmation,F,5.0,3.0,241031.0,20.0,1,26.0,23.0,9.0,4,2007,Haryana,India
FIN1000020,492001,M,M,Salaried,Graduate,2.0,2.0,Confirmation,M,3.0,1.0,262207.0,7.0,0,22.0,27.0,5.0,4,2007,Chhattisgarh,India
FIN1000021,452003,M,S,Business,Class XII,1.0,1.0,Confirmation,M,1.0,0.0,11642.0,1.0,0,18.0,32.0,2.0,4,2007,Madhya Pradesh,India
FIN1000022,834001,M,S,Others,Graduate,1.0,2.0,Confirmation,M,0.0,0.0,177816.0,7.0,0,20.0,52.0,39.0,4,2007,Jharkhand,India
FIN1000023,802301,M,S,Business,Class XII,1.0,3.0,Confirmation,M,0.0,0.0,409995.0,30.0,1,20.0,52.0,42.0,4,2007,高雄市,臺灣
FIN1000024,211001,M,M,Business,Graduate,1.0,2.0,Confirmation,M,0.0,0.0,161931.0,13.0,1,42.0,51.0,10.0,4,2007,Uttar Pradesh,India
FIN1000025,209625,M,S,Business,Class XII,,,,,,,,,1,24.0,,,4,2007,Uttar Pradesh,India
FIN1000026,492001,M,M,Salaried,Class XII,2.0,2.0,Confirmation,M,0.0,0.0,200561.0,15.0,0,27.0,26.0,6.0,4,2007,Chhattisgarh,India
FIN1000027,282001,M,S,Salaried,Graduate,2.0,2.0,Confirmation,M,0.0,0.0,288365.0,15.0,0,25.0,41.0,47.0,4,2007,Uttar Pradesh,India
FIN1000028,751009,M,M,Business,Graduate,2.0,2.0,Confirmation,M,0.0,1.0,367582.0,15.0,1,23.0,47.0,13.0,4,2007,Odisha,India
FIN1000029,800001,M,M,Business,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,246602.0,18.0,1,23.0,35.0,11.0,4,2007,Galați,România
FIN1000030,282001,M,S,Salaried,Graduate,1.0,1.0,Confirmation,M,2.0,2.0,259059.0,16.0,1,34.0,26.0,11.0,4,2007,Uttar Pradesh,India
FIN1000031,781005,M,M,Business,Class XII,1.0,2.0,Confirmation,M,3.0,1.0,310459.0,23.0,1,45.0,32.0,10.0,4,2007,Assam,India
FIN1000032,520010,M,S,Salaried,Class XII,2.0,2.0,Confirmation,M,0.0,0.0,81786.0,7.0,1,24.0,24.0,11.0,4,2007,Andhra Pradesh,India
FIN1000033,444601,F,M,Others,Class XII,2.0,4.0,Confirmation,F,0.0,0.0,411405.0,21.0,1,29.0,39.0,57.0,4,2007,Maharashtra,India
FIN1000034,274001,M,M,Others,Class XII,1.0,1.0,Confirmation,M,0.0,0.0,110926.0,11.0,1,21.0,35.0,18.0,4,2007,Uttar Pradesh,India
FIN1000035,851101,M,M,Business,Graduate,,,,,,,,,1,36.0,,,4,2007,Bihar,India
